Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF/16V","SMD-0805",30.8610,24.3840,-90.0000,bottom
"C2","10uF","SMD-0805",31.8770,36.3220,90.0000,bottom
"C3","10uF","SMD-0805",24.8920,34.9250,180.0000,bottom
"C4","10uF","SMD-0805",28.7020,42.0370,90.0000,bottom
"C5","100nF","SMD-0805",9.6520,23.3680,-90.0000,bottom
"C6","100nF","SMD-0805",2.7940,24.1300,180.0000,bottom
"C7","47uF","TantalC_SizeC_Reflow",35.5600,19.9390,0.0000,bottom
"C8","100nF","SMD-0805",9.3980,9.2710,180.0000,bottom
"D1","SMBJ15A-E3/52","Diode-SMB_Standard",31.6484,14.2240,90.0000,bottom
"D2","SP1001-04XTG","SOT-553",12.8270,23.3680,90.0000,bottom
"D3","SP1001-04XTG","SOT-553",14.2240,30.0990,-90.0000,bottom
"R1","1k","SMD-0805",25.7810,12.5730,0.0000,bottom
"R2","1k","SMD-0805",13.7160,12.8270,180.0000,bottom
"R3","620","SMD-0805",17.9578,32.0040,-90.0000,bottom
"R4","120","SMD-0805",17.9451,28.4607,-90.0000,bottom
"R5","620","SMD-0805",17.9705,25.1460,-90.0000,bottom
"R6","620","SMD-0805",23.2664,31.7754,-90.0000,bottom
"R7","120","SMD-0805",23.2664,28.3464,-90.0000,bottom
"R8","620","SMD-0805",23.2664,24.6126,-90.0000,bottom
"R9","620","SMD-0805",28.7020,31.6484,-90.0000,bottom
"R10","120","SMD-0805",28.7020,28.2194,-90.0000,bottom
"R11","620","SMD-0805",28.7020,24.4856,-90.0000,bottom
"R12","1k","SMD-0805",10.5410,32.9565,0.0000,bottom
"R13","4k7","SMD-0805",9.8425,14.5415,-90.0000,bottom
"R14","4k7","SMD-0805",9.8755,17.9400,90.0000,bottom
"R15","1k","SMD-0805",9.3980,10.9855,0.0000,bottom
"U1","LM1117 5V","SOT-223",35.4330,29.0830,180.0000,bottom
"U2","LM1117 3V3","SOT-223",22.3520,39.7510,-90.0000,bottom
"U3","PCA9616","TSSOP-16_4.4x5mm_Pitch0.65mm",6.7564,28.1940,0.0000,bottom
